,full_name,id,contained_within,country,country_code,geo,name,place_type
a89175c4c91f45a3,"Citrus Heights, CA",a89175c4c91f45a3,[],,,"{'type': 'Feature', 'bbox': [-121.331355, 38.663673, -121.242804, 38.722779], 'properties': {}}",,city
3f5897b87d2bf56c,"Delaware, USA",3f5897b87d2bf56c,[],,,"{'type': 'Feature', 'bbox': [-75.7887564, 38.4510398, -74.984165, 39.839007], 'properties': {}}",,admin
161d2f18e3a0445a,"Raleigh, NC",161d2f18e3a0445a,[],,,"{'type': 'Feature', 'bbox': [-78.818343, 35.7158045, -78.497331, 35.9721579], 'properties': {}}",,city
00c39537733fa112,"Queens, NY",00c39537733fa112,[],,,"{'type': 'Feature', 'bbox': [-73.962582, 40.541722, -73.699793, 40.8000371], 'properties': {}}",,city
c3f37afa9efcf94b,"Austin, TX",c3f37afa9efcf94b,[],,,"{'type': 'Feature', 'bbox': [-97.928935, 30.127892, -97.5805133, 30.5187994], 'properties': {}}",,city
ab2f2fac83aa388d,"Oakland, CA",ab2f2fac83aa388d,[],,,"{'type': 'Feature', 'bbox': [-122.34266, 37.699279, -122.114711, 37.8847092], 'properties': {}}",,city
5c2b5e46ab891f07,"Las Vegas, NV",5c2b5e46ab891f07,[],,,"{'type': 'Feature', 'bbox': [-115.384091, 36.129459, -115.062159, 36.336371], 'properties': {}}",,city
413ef5a0d23bfe4f,"Kalamazoo, MI",413ef5a0d23bfe4f,[],,,"{'type': 'Feature', 'bbox': [-85.649602, 42.215555, -85.481775, 42.365493], 'properties': {}}",,city
011add077f4d2da3,"Brooklyn, NY",011add077f4d2da3,[],,,"{'type': 'Feature', 'bbox': [-74.041878, 40.570842, -73.855673, 40.739434], 'properties': {}}",,city
6c686af766d8429c,"Fort Lauderdale, FL",6c686af766d8429c,[],,,"{'type': 'Feature', 'bbox': [-80.20811, 26.080935, -80.0902351, 26.219801], 'properties': {}}",,city
cd450c94084cbf9b,"Massachusetts, USA",cd450c94084cbf9b,[],,,"{'type': 'Feature', 'bbox': [-73.508143, 41.187054, -69.858861, 42.8868241], 'properties': {}}",,admin
946ccd22e1c9cda1,"Pittsburgh, PA",946ccd22e1c9cda1,[],,,"{'type': 'Feature', 'bbox': [-80.095586, 40.3615796, -79.8657933, 40.501198], 'properties': {}}",,city
5e68ca240e32025a,"Chino Hills, CA",5e68ca240e32025a,[],,,"{'type': 'Feature', 'bbox': [-117.788282, 33.921548, -117.6552404, 34.0234834], 'properties': {}}",,city
ae845a49091f2727,"Somerville, MA",ae845a49091f2727,[],,,"{'type': 'Feature', 'bbox': [-71.134552, 42.3727525, -71.072892, 42.418052], 'properties': {}}",,city
008338532a26abed,"Bradenton, FL",008338532a26abed,[],,,"{'type': 'Feature', 'bbox': [-82.688331, 27.424889, -82.459019, 27.52306], 'properties': {}}",,city
e314d126e15cdbfa,"Golden Valley, MN",e314d126e15cdbfa,[],,,"{'type': 'Feature', 'bbox': [-93.400969, 44.966485, -93.318318, 45.016929], 'properties': {}}",,city
4ec01c9dbc693497,"Florida, USA",4ec01c9dbc693497,[],,,"{'type': 'Feature', 'bbox': [-87.634643, 24.396308, -79.974307, 31.001056], 'properties': {}}",,admin
009987081e292b49,"Rehoboth, MA",009987081e292b49,[],,,"{'type': 'Feature', 'bbox': [-71.296345, 41.804253, -71.261795, 41.847254], 'properties': {}}",,city
0a0de7bd49ef942d,"Scottsdale, AZ",0a0de7bd49ef942d,[],,,"{'type': 'Feature', 'bbox': [-111.960775, 33.4358637, -111.756022, 33.842816], 'properties': {}}",,city
01a9a39529b27f36,"Manhattan, NY",01a9a39529b27f36,[],,,"{'type': 'Feature', 'bbox': [-74.026675, 40.683935, -73.910408, 40.877483], 'properties': {}}",,city
0068df0f3d964111,"Grafton, MA",0068df0f3d964111,[],,,"{'type': 'Feature', 'bbox': [-71.733841, 42.163379, -71.640842, 42.252255], 'properties': {}}",,city
463f5d9615d7d1be,"Maine, USA",463f5d9615d7d1be,[],,,"{'type': 'Feature', 'bbox': [-71.084335, 42.917127, -66.885075, 47.459687], 'properties': {}}",,admin
97b70992556c6354,"Farmers Branch, TX",97b70992556c6354,[],,,"{'type': 'Feature', 'bbox': [-96.938694, 32.895548, -96.821221, 32.953548], 'properties': {}}",,city
073b88b74b72bb80,"Grove City, OH",073b88b74b72bb80,[],,,"{'type': 'Feature', 'bbox': [-83.127063, 39.791505, -83.008394, 39.9074412], 'properties': {}}",,city
0da8a6c990f02eed,"Orland Park, IL",0da8a6c990f02eed,[],,,"{'type': 'Feature', 'bbox': [-87.911936, 41.552464, -87.790471, 41.65669], 'properties': {}}",,city
5ef5b7f391e30aff,"Berkeley, CA",5ef5b7f391e30aff,[],,,"{'type': 'Feature', 'bbox': [-122.324818, 37.8459532, -122.234225, 37.905738], 'properties': {}}",,city
29a119f18820c3ad,"Frontenac, MO",29a119f18820c3ad,[],,,"{'type': 'Feature', 'bbox': [-90.433909, 38.606163, -90.405462, 38.647891], 'properties': {}}",,city
9807c5c5f7a2c6ce,"Minnesota, USA",9807c5c5f7a2c6ce,[],,,"{'type': 'Feature', 'bbox': [-97.239256, 43.499362, -89.483385, 49.384359], 'properties': {}}",,admin
00ab941b685334e3,"Nashville, TN",00ab941b685334e3,[],,,"{'type': 'Feature', 'bbox': [-87.022482, 35.9945681, -86.560616, 36.405448], 'properties': {}}",,city
840f120ae56c1da7,"Napa, CA",840f120ae56c1da7,[],,,"{'type': 'Feature', 'bbox': [-122.358011, 38.243267, -122.254517, 38.350876], 'properties': {}}",,city
103920dc0314e000,NJ Memory Center,103920dc0314e000,[],,,"{'type': 'Feature', 'bbox': [-74.229901, 40.828043, -74.229901, 40.828043], 'properties': {}}",,poi
3fdd3a62ae058de9,"Wilkes-Barre, PA",3fdd3a62ae058de9,[],,,"{'type': 'Feature', 'bbox': [-75.924804, 41.215416, -75.8267555, 41.272993], 'properties': {}}",,city
01584ae34a2fc8c9,"Farmington, CT",01584ae34a2fc8c9,[],,,"{'type': 'Feature', 'bbox': [-72.909856, 41.686204, -72.7613122, 41.776259], 'properties': {}}",,city
3c17146a8c4f3c57,"New Richmond, WI",3c17146a8c4f3c57,[],,,"{'type': 'Feature', 'bbox': [-92.5701274, 45.0989308, -92.507083, 45.137293], 'properties': {}}",,city
61f73dd1739509f0,"Upper Arlington, OH",61f73dd1739509f0,[],,,"{'type': 'Feature', 'bbox': [-83.104102, 39.989304, -83.042267, 40.063889], 'properties': {}}",,city
3b77caf94bfc81fe,"Los Angeles, CA",3b77caf94bfc81fe,[],,,"{'type': 'Feature', 'bbox': [-118.668404, 33.704538, -118.155409, 34.337041], 'properties': {}}",,city
b0b79caecef59fb5,"Burbank, CA",b0b79caecef59fb5,[],,,"{'type': 'Feature', 'bbox': [-118.37032, 34.1426298, -118.2799703, 34.2216898], 'properties': {}}",,city
07d9d92385c81000,East Providence City Hall,07d9d92385c81000,[],,,"{'type': 'Feature', 'bbox': [-71.37598838618106, 41.819669181064384, -71.37598838618106, 41.819669181064384], 'properties': {}}",,poi
1994142e26ba7127,"Davis, CA",1994142e26ba7127,[],,,"{'type': 'Feature', 'bbox': [-121.803252, 38.526843, -121.675074, 38.590264], 'properties': {}}",,city
5a110d312052166f,"San Francisco, CA",5a110d312052166f,[],,,"{'type': 'Feature', 'bbox': [-122.514926, 37.708075, -122.357031, 37.833238], 'properties': {}}",,city
83f591d18ca28d00,"Shaler Township, PA",83f591d18ca28d00,[],,,"{'type': 'Feature', 'bbox': [-79.988653, 40.4784445, -79.9022372, 40.56368], 'properties': {}}",,city
009243ac50ad0f26,"West Sacramento, CA",009243ac50ad0f26,[],,,"{'type': 'Feature', 'bbox': [-121.584282, 38.516197, -121.506483, 38.603777], 'properties': {}}",,city
2bc7c264a080898b,"Hollywood, FL",2bc7c264a080898b,[],,,"{'type': 'Feature', 'bbox': [-80.248975, 25.9862279, -80.107808, 26.093132], 'properties': {}}",,city
67b98f17fdcf20be,"Boston, MA",67b98f17fdcf20be,[],,,"{'type': 'Feature', 'bbox': [-71.191421, 42.227797, -70.986004, 42.399542], 'properties': {}}",,city
e0060cda70f5f341,"Texas, USA",e0060cda70f5f341,[],,,"{'type': 'Feature', 'bbox': [-106.645646, 25.837092, -93.508131, 36.500695], 'properties': {}}",,admin
a2de7c70b82b0ca0,"Los Gatos, CA",a2de7c70b82b0ca0,[],,,"{'type': 'Feature', 'bbox': [-121.997026, 37.205924, -121.905719, 37.265466], 'properties': {}}",,city
01cb573821d94344,"Queen Creek, AZ",01cb573821d94344,[],,,"{'type': 'Feature', 'bbox': [-111.6863139, 33.196614, -111.582748, 33.2881266], 'properties': {}}",,city
010ca0c52ba7443f,"Lenexa, KS",010ca0c52ba7443f,[],,,"{'type': 'Feature', 'bbox': [-94.8442025, 38.915313, -94.704952, 38.993369], 'properties': {}}",,city
38109314e8d0ee2f,"Roseville, CA",38109314e8d0ee2f,[],,,"{'type': 'Feature', 'bbox': [-121.385009, 38.716061, -121.216452, 38.8102595], 'properties': {}}",,city
dc62519fda13b4ec,"Tampa, FL",dc62519fda13b4ec,[],,,"{'type': 'Feature', 'bbox': [-82.620093, 27.821353, -82.2652945, 28.171836], 'properties': {}}",,city
28ace6b8d6dbc3af,"Chula Vista, CA",28ace6b8d6dbc3af,[],,,"{'type': 'Feature', 'bbox': [-117.117116, 32.582128, -116.9278103, 32.685406], 'properties': {}}",,city
92b2158a6d509767,"Ann Arbor, MI",92b2158a6d509767,[],,,"{'type': 'Feature', 'bbox': [-83.800262, 42.215087, -83.659681, 42.326592], 'properties': {}}",,city
016cbdbf2007ee0f,"Saylorville, IA",016cbdbf2007ee0f,[],,,"{'type': 'Feature', 'bbox': [-93.668421, 41.636286, -93.581216, 41.703815], 'properties': {}}",,city
7d62cffe6f98f349,"San Jose, CA",7d62cffe6f98f349,[],,,"{'type': 'Feature', 'bbox': [-122.035311, 37.193164, -121.71215, 37.469154], 'properties': {}}",,city
84229b03659050aa,"Virginia Beach, VA",84229b03659050aa,[],,,"{'type': 'Feature', 'bbox': [-76.22808, 36.672684, -75.9118121, 36.932399], 'properties': {}}",,city
e4a0d228eb6be76b,"Philadelphia, PA",e4a0d228eb6be76b,[],,,"{'type': 'Feature', 'bbox': [-75.280284, 39.871811, -74.955712, 40.13792], 'properties': {}}",,city
625eb47b5e233645,"Des Moines, WA",625eb47b5e233645,[],,,"{'type': 'Feature', 'bbox': [-122.3357856, 47.3403908, -122.291094, 47.431114], 'properties': {}}",,city
a592bd6ceb1319f7,"San Diego, CA",a592bd6ceb1319f7,[],,,"{'type': 'Feature', 'bbox': [-117.282538, 32.53962, -116.9274403, 33.0804044], 'properties': {}}",,city
01c060cf466c6ce3,"Long Beach, CA",01c060cf466c6ce3,[],,,"{'type': 'Feature', 'bbox': [-118.250227, 33.732905, -118.0631938, 33.885438], 'properties': {}}",,city
432daa3153c5fef9,"San Mateo, CA",432daa3153c5fef9,[],,,"{'type': 'Feature', 'bbox': [-122.355038, 37.512567, -122.275805, 37.592395], 'properties': {}}",,city
109c45583c14f000,Museumlab,109c45583c14f000,[],,,"{'type': 'Feature', 'bbox': [-80.005396, 40.453073, -80.005396, 40.453073], 'properties': {}}",,poi
42e46bc3663a4b5f,"Fort Worth, TX",42e46bc3663a4b5f,[],,,"{'type': 'Feature', 'bbox': [-97.538285, 32.569477, -97.033542, 32.990456], 'properties': {}}",,city
7a41192a2879ee24,"Sugar Land, TX",7a41192a2879ee24,[],,,"{'type': 'Feature', 'bbox': [-95.686106, 29.5433718, -95.5772726, 29.663556], 'properties': {}}",,city
17a83a55221b0671,"Myrtle Beach, SC",17a83a55221b0671,[],,,"{'type': 'Feature', 'bbox': [-78.991697, 33.617059, -78.766035, 33.7897222], 'properties': {}}",,city
5c62ffb0f0f3479d,"Phoenix, AZ",5c62ffb0f0f3479d,[],,,"{'type': 'Feature', 'bbox': [-112.3239143, 33.29026, -111.9254391, 33.8154652], 'properties': {}}",,city
07ff830817b8e718,"Mesquite, TX",07ff830817b8e718,[],,,"{'type': 'Feature', 'bbox': [-96.683671, 32.700664, -96.520614, 32.8492108], 'properties': {}}",,city
52445186970bafb3,"Chandler, AZ",52445186970bafb3,[],,,"{'type': 'Feature', 'bbox': [-111.972849, 33.2037607, -111.788898, 33.36114], 'properties': {}}",,city
ebd427773b31cb21,"Pittsburg, CA",ebd427773b31cb21,[],,,"{'type': 'Feature', 'bbox': [-121.987421, 37.989865, -121.8332676, 38.043639], 'properties': {}}",,city
0128a31e4b8eea93,"Cascades, VA",0128a31e4b8eea93,[],,,"{'type': 'Feature', 'bbox': [-77.40747, 39.021548, -77.361724, 39.06483], 'properties': {}}",,city
9a99329bbb5d8bba,"Paradise Valley, AZ",9a99329bbb5d8bba,[],,,"{'type': 'Feature', 'bbox': [-112.014232, 33.508746, -111.916817, 33.582629], 'properties': {}}",,city
01c3ab0d7323b99b,"Cardiff, NJ",01c3ab0d7323b99b,[],,,"{'type': 'Feature', 'bbox': [-74.673735, 39.3352, -74.550754, 39.44434], 'properties': {}}",,city
7df9a00dcf914d5e,"Plantation, FL",7df9a00dcf914d5e,[],,,"{'type': 'Feature', 'bbox': [-80.330201, 26.088262, -80.1968332, 26.160753], 'properties': {}}",,city
019057df2bbee4e5,"Powell, OH",019057df2bbee4e5,[],,,"{'type': 'Feature', 'bbox': [-83.139191, 40.137232, -83.031264, 40.217862], 'properties': {}}",,city
a35b62af9d82aa08,"Walnut Creek, CA",a35b62af9d82aa08,[],,,"{'type': 'Feature', 'bbox': [-122.10003, 37.842368, -121.980829, 37.944965], 'properties': {}}",,city
c200b23c6b2eb238,"Simpsonville, SC",c200b23c6b2eb238,[],,,"{'type': 'Feature', 'bbox': [-82.356456, 34.6513622, -82.199237, 34.786946], 'properties': {}}",,city
07d9cb9869483002,MGH Simches Research Building,07d9cb9869483002,[],,,"{'type': 'Feature', 'bbox': [-71.06594301525203, 42.36169122894269, -71.06594301525203, 42.36169122894269], 'properties': {}}",,poi
07d9dbc504c87001,Charlestown Navy Yard,07d9dbc504c87001,[],,,"{'type': 'Feature', 'bbox': [-71.05415225028992, 42.3745881380227, -71.05415225028992, 42.3745881380227], 'properties': {}}",,poi
07d9c9494b888000,Indianapolis Museum of Art (IMA),07d9c9494b888000,[],,,"{'type': 'Feature', 'bbox': [-86.18509509939211, 39.825586763866156, -86.18509509939211, 39.825586763866156], 'properties': {}}",,poi
19a45d735673b64d,"Alamogordo, NM",19a45d735673b64d,[],,,"{'type': 'Feature', 'bbox': [-106.002737, 32.8445078, -105.904921, 32.946457], 'properties': {}}",,city
7dda05213481260c,"Gainesville, FL",7dda05213481260c,[],,,"{'type': 'Feature', 'bbox': [-82.421473, 29.600496, -82.239066, 29.745847], 'properties': {}}",,city
0633ab4aa27b0bf7,"Waltham, MA",0633ab4aa27b0bf7,[],,,"{'type': 'Feature', 'bbox': [-71.289902, 42.352885, -71.194241, 42.436021], 'properties': {}}",,city
4b58830723ec6371,"Santa Clara, CA",4b58830723ec6371,[],,,"{'type': 'Feature', 'bbox': [-122.005597, 37.322943, -121.930045, 37.419037], 'properties': {}}",,city
1c69a67ad480e1b1,"Houston, TX",1c69a67ad480e1b1,[],,,"{'type': 'Feature', 'bbox': [-95.823268, 29.522325, -95.069705, 30.1546646], 'properties': {}}",,city
1d9a5370a355ab0c,"Chicago, IL",1d9a5370a355ab0c,[],,,"{'type': 'Feature', 'bbox': [-87.940033, 41.644102, -87.523993, 42.0230669], 'properties': {}}",,city
aab15d455af4dcc9,"Brent, FL",aab15d455af4dcc9,[],,,"{'type': 'Feature', 'bbox': [-87.285468, 30.437965, -87.218996, 30.504789], 'properties': {}}",,city
9f4583bf6dae13c4,"Springfield, MA",9f4583bf6dae13c4,[],,,"{'type': 'Feature', 'bbox': [-72.620117, 42.06398, -72.471052, 42.162145], 'properties': {}}",,city
7eba31f60a59aa24,"Tonawanda, NY",7eba31f60a59aa24,[],,,"{'type': 'Feature', 'bbox': [-78.941453, 42.955994, -78.822147, 43.0313345], 'properties': {}}",,city
4ccb1b26b2b91248,"San Ramon, CA",4ccb1b26b2b91248,[],,,"{'type': 'Feature', 'bbox': [-122.004255, 37.721286, -121.8789037, 37.795164], 'properties': {}}",,city
94965b2c45386f87,"New York, USA",94965b2c45386f87,[],,,"{'type': 'Feature', 'bbox': [-79.76259, 40.477383, -71.777492, 45.015851], 'properties': {}}",,admin
0fc2e88879942000,Irvine Marriott,0fc2e88879942000,[],,,"{'type': 'Feature', 'bbox': [-117.8497412, 33.6783214, -117.8497412, 33.6783214], 'properties': {}}",,poi
3d533362cdab8107,"Irvine, CA",3d533362cdab8107,[],,,"{'type': 'Feature', 'bbox': [-117.86894, 33.606077, -117.695781, 33.773387], 'properties': {}}",,city
015b41f2459305d0,"Blasdell, NY",015b41f2459305d0,[],,,"{'type': 'Feature', 'bbox': [-78.864178, 42.767924, -78.789953, 42.806852], 'properties': {}}",,city
e377d01511c771b4,"Sebastian, FL",e377d01511c771b4,[],,,"{'type': 'Feature', 'bbox': [-80.5505, 27.730365, -80.437398, 27.835385], 'properties': {}}",,city
07d9d29f8b883003,Emory Conference Center Hotel,07d9d29f8b883003,[],,,"{'type': 'Feature', 'bbox': [-84.324207, 33.801574, -84.324207, 33.801574], 'properties': {}}",,poi
7cb7440bcf83d464,"Tempe, AZ",7cb7440bcf83d464,[],,,"{'type': 'Feature', 'bbox': [-111.979047, 33.3199453, -111.877237, 33.465823], 'properties': {}}",,city
2ceac98ca57995e2,"Hartsdale, NY",2ceac98ca57995e2,[],,,"{'type': 'Feature', 'bbox': [-73.826857, 41.001752, -73.783178, 41.039606], 'properties': {}}",,city
c0b8e8dc81930292,"Baltimore, MD",c0b8e8dc81930292,[],,,"{'type': 'Feature', 'bbox': [-76.7115205, 39.197211, -76.529443, 39.372215], 'properties': {}}",,city
3df4f427b5a60fea,"San Antonio, TX",3df4f427b5a60fea,[],,,"{'type': 'Feature', 'bbox': [-98.778559, 29.141956, -98.302744, 29.693046], 'properties': {}}",,city
b71fac2ee9792cbe,"Sacramento, CA",b71fac2ee9792cbe,[],,,"{'type': 'Feature', 'bbox': [-121.576613, 38.43792, -121.362715, 38.6855236], 'properties': {}}",,city
dd9c503d6c35364b,"Pennsylvania, USA",dd9c503d6c35364b,[],,,"{'type': 'Feature', 'bbox': [-80.519851, 39.719801, -74.689517, 42.516072], 'properties': {}}",,admin
24a53a1880093fa9,"Winston-Salem, NC",24a53a1880093fa9,[],,,"{'type': 'Feature', 'bbox': [-80.389019, 35.9341262, -80.100949, 36.240211], 'properties': {}}",,city
d73cbce54317ffaa,"Westmont, IL",d73cbce54317ffaa,[],,,"{'type': 'Feature', 'bbox': [-87.9942499, 41.7637894, -87.9453887, 41.8250158], 'properties': {}}",,city
a6af648ddff22b3b,"Streamwood, IL",a6af648ddff22b3b,[],,,"{'type': 'Feature', 'bbox': [-88.230526, 41.989279, -88.138345, 42.066971], 'properties': {}}",,city
b8018050c8b66e62,"South Charleston, WV",b8018050c8b66e62,[],,,"{'type': 'Feature', 'bbox': [-81.753526, 38.305259, -81.6685409, 38.37459], 'properties': {}}",,city
90c543b181a7c56e,"Statesboro, GA",90c543b181a7c56e,[],,,"{'type': 'Feature', 'bbox': [-81.869986, 32.3604626, -81.731171, 32.520558], 'properties': {}}",,city
0570f015c264cbd9,"St Louis, MO",0570f015c264cbd9,[],,,"{'type': 'Feature', 'bbox': [-90.3205158, 38.5331934, -90.175132, 38.774349], 'properties': {}}",,city
7021e749f1518e43,"Peoria Heights, IL",7021e749f1518e43,[],,,"{'type': 'Feature', 'bbox': [-89.591033, 40.728668, -89.552232, 40.7610612], 'properties': {}}",,city
4eaabc683e109220,"Drexel Hill, PA",4eaabc683e109220,[],,,"{'type': 'Feature', 'bbox': [-75.331497, 39.911076, -75.282044, 39.964566], 'properties': {}}",,city
fbd6d2f5a4e4a15e,"California, USA",fbd6d2f5a4e4a15e,[],,,"{'type': 'Feature', 'bbox': [-124.482003, 32.528832, -114.131212, 42.009519], 'properties': {}}",,admin
e0a72e719203f0a5,"Fort Thomas, KY",e0a72e719203f0a5,[],,,"{'type': 'Feature', 'bbox': [-84.4753375, 39.0511926, -84.432547, 39.1114638], 'properties': {}}",,city
6417871953fa5e86,"Silver Spring, MD",6417871953fa5e86,[],,,"{'type': 'Feature', 'bbox': [-77.064086, 38.979735, -76.97162, 39.036964], 'properties': {}}",,city
7d0b9a4c14df7467,"Flagler Beach, FL",7d0b9a4c14df7467,[],,,"{'type': 'Feature', 'bbox': [-81.152972, 29.421544, -81.10197, 29.509396], 'properties': {}}",,city
00bd609424733145,"North Canton, OH",00bd609424733145,[],,,"{'type': 'Feature', 'bbox': [-81.442077, 40.8531291, -81.323313, 40.917247], 'properties': {}}",,city
e86b380cfefcced5,"Connecticut, USA",e86b380cfefcced5,[],,,"{'type': 'Feature', 'bbox': [-73.727776, 40.950918, -71.786994, 42.050588], 'properties': {}}",,admin
836f33ea3edf2a95,"Kinnelon, NJ",836f33ea3edf2a95,[],,,"{'type': 'Feature', 'bbox': [-74.429657, 40.9580228, -74.330977, 41.0330328], 'properties': {}}",,city
00efea4f0eed2bc6,"Harrison, NY",00efea4f0eed2bc6,[],,,"{'type': 'Feature', 'bbox': [-73.753788, 40.959134, -73.684613, 41.079457], 'properties': {}}",,city
e21c8e4914eef2b3,"Colorado, USA",e21c8e4914eef2b3,[],,,"{'type': 'Feature', 'bbox': [-109.060257, 36.992427, -102.041524, 41.003445], 'properties': {}}",,admin
dc25bb079ef6daf2,"Anderson, IN",dc25bb079ef6daf2,[],,,"{'type': 'Feature', 'bbox': [-85.7494184, 40.031713, -85.5958361, 40.179084], 'properties': {}}",,city
